Designator,Footprint,Quantity,Value,LCSC Part #
"C10, C11, C13, C3, C4, C5, C6, C7, C8, C9",0603,10,100n,
C12,0603,1,10n,
"C2, CIN1, COUT1",0603,3,10u,
"H1, H2, H3, H4",MountingHole_3.2mm_M3,4,MountingHole,
IC1,SOIC127P600X170-9N,1,TPS7A7001DDA,
J1,215760-YY02,1,215760-3002,
J10,MEM20610118800A,1,MEM2061-01-188-00-A,
"J11, J12, J13",533980276,3,53398-0276,
"J2, J9",53398-0371,2,53398-0376,
J3,533980671,1,53398-0671,
"J4, J6, J7, J8",533980471,4,53398-0471,
J5,53398-0571,1,53398-0571,
"K1, K2",PinSocket_1x15_P2.54mm_Vertical,2,HEADER_MALE_15X1,
"N1, N2",Connector_PinSocket_2.54mm_NUCLEO,2,Conn_02x19_Odd_Even,
R1,0603,1,169k,
R10,0603,1,3.74k,
"R11, R2, R7, R9",0603,4,30.1k,
R3,0603,1,10k,
"R4, R5",0603,2,1k,
"R6, R8",0603,2,15.4k,
"TP1, TP2",PinHeader_1x01_P2.54mm_Vertical,2,TestPoint,
VR1,TS7Y103KR32,1,TS7Y103KR32,
