Designator,Mid X,Mid Y,Rotation,Layer
C10,118.026,-133.16,180.0,top
C11,67.17,-112.1825,270.0,top
C12,75.05,-129.6375,0.0,top
C13,70.24,-87.1025,270.0,top
C2,123.34,-109.72,0.0,top
C3,115.38,-87.96,0.0,top
C4,95.56,-74.89,0.0,top
C5,104.901,-131.82,0.0,top
C6,131.23,-132.99,0.0,top
C7,119.696,-73.96775,0.0,top
C8,66.878,-91.426,90.0,top
C9,67.39,-125.04,90.0,top
CIN1,76.81,-71.59,270.0,top
COUT1,86.28,-72.33175,90.0,top
IC1,81.422,-70.435,0.0,top
J1,66.49,-76.38,270.0,top
J10,110.48,-107.85,90.0,top
J11,63.574,-126.93,270.0,top
J12,147.136,-94.2675,90.0,top
J13,147.326,-118.845,90.0,top
J2,88.946,-139.57,180.0,top
J3,99.815,-69.715,0.0,top
J4,103.271,-134.61,0.0,top
J5,133.456,-135.21,0.0,top
J6,115.591,-71.27175,180.0,top
J7,64.15,-95.265,270.0,top
J8,64.34,-110.17,270.0,top
J9,119.096,-138.23,180.0,top
K1,111.94,-113.65,270.0,top
K2,111.94,-90.79,270.0,top
N1,139.7,-100.0,0.0,bottom
N2,78.73,-100.0,0.0,bottom
R1,87.12,-69.61,180.0,top
R10,73.44,-82.49,270.0,top
R11,73.45,-86.305,90.0,top
R2,85.15,-66.75,180.0,top
R3,96.48,-101.32,0.0,top
R4,143.27,-91.9825,90.0,top
R5,143.34,-116.11,90.0,top
R6,67.9525,-96.775,0.0,top
R7,68.8525,-99.575,90.0,top
R8,71.47,-128.76,90.0,top
R9,72.38,-125.81,180.0,top
TP1,142.0,-130.9,0.0,top
TP2,142.0,-72.11,0.0,top
VR1,75.03875,-134.83125,270.0,top
